uuid	text
002c974e-4182-4579-8c1c-2e06bbda0326	Write expressions to generate random numbers from a speci
012121cb-e00e-4fcf-a0d7-ab0cdd675cc3	Describe ways a dataset can be biased
0179a3c9-6fc3-4497-922c-3521a0b32233	Write a class based on an abstract description.
020c626c-4580-43bf-997e-f991e28eb5fe	Name all the punctuation characters used in Java.
05321feb-6f50-44c9-ada7-1e7b707851fe	"Describe ""repetition"""
0594bf60-f89e-40d6-bf58-7cacfcf6e8d8	Give examples of O(N) loops and O(N²) loops
08d83b53-5f46-468a-b387-78c9b26250ee	Describe the kinds of errors that can be detected without running the program.
092dc9a0-d8c6-4bd2-aac6-99564eef2979	Debug code that incorrectly removes elements from an ArrayList
0a1abe67-cf53-490a-905e-e3d07458a317	Write correct calls to a static method from inside the class.
0a44f60c-8c8a-4aa3-878b-ccf230633a10	Write one-way selections with if
0bf1e69d-84bd-4c2f-b1fa-3e20fcf26fe6	State what mystery recursive methods do.
0bfe5c1c-41b3-4844-acb0-a51b7b231c58	Describe the limitations of doubles
0d0b4211-04ff-4dbe-9566-c0a7db853579	Write void methods that have internal side effects
0d9de022-3a91-477e-b001-3f7c25f4ebff	Write code that reads user input with Scanner
0fad0ed0-ea63-48a2-a151-7152de71ef4a	Identify which overloaded constructor will be invoked by a call.
10d1c520-57fe-4a4b-a9d9-64bee4acfd9a	Defining unboxing.
11b3491b-6cf0-4419-8e4a-98f5d7f42ae1	Explain how preconditions constrain other code.
11fa50af-a037-40e8-a5fa-2d8374b67eed	Write a class that declares a `public final static` member variable.
1299d65a-01d1-4cac-a1ab-bc58de7c898d	State the proper modifiers for a variable holding a constant value
133b2b8c-01c7-42d1-a7c0-ad069fb897c2	List three features of Java that provide data abstraction.
1343971a-d7e9-4440-b367-1f69056369c0	Define postconditions.
136709e5-61eb-4486-b720-ab806a36a94a	Describe the default flow of control in Java code.
13dfb0cd-74e9-423e-ba65-8209b0f36471	"Define ""encapsulation"""
1495d581-d331-4720-8642-cbed74311e8c	Demonstrate merge sort with cards
14a9e7e2-bc59-487f-a3c0-b38870050cba	Write code to declare an ArrayList of type T
14d0d4a5-2697-4e3d-be70-d7f1d4180998	State when a `while` loop will not run its body at all.
15d579c5-5647-406a-a05c-676605dfbf0f	Write expressions using Math.random() to generate random numbers
16671d6f-b679-4981-b5df-b99b4f323d38	Describe what kind of details a procedural abstraction hides.
16f25f04-9202-44cc-8b61-659e1cb4f597	Write a canonical reverse for loop that runs N times
16fb21d4-ae09-4122-b9d2-bedef167e079	Describe what a text editor is.
19494040-d06e-4fb0-ba96-de4eb58fffc7	Describe ways you give up some privacy when using software
1adfdf73-109d-4f79-a26f-803035d8f16c	Write a loop to do something with the digits of an int.
1c167896-1ead-4dab-8816-d7ef8b4ee1cd	Identify which of several overloaded methods will be invoked by a call.
1c9c9436-3b9c-4b18-9177-e2c4db4f562f	Write code using += with ints and Strings.
1cb11bbb-d03c-4d93-bf43-80499e162124	Write arithmetic expressions that include variables
1d9a8d8b-72df-47bc-9e6f-6c2afe7c9b56	Simplify mutually-exclusive consecutive ifs into chained else ifs
1e48386f-8fa6-4302-8881-f8ebcc281550	Express a real-world procedure as an algorithm in English.
1f43b090-9c40-4c53-91d8-5135741954f5	List the methods all classes inherit from java.lang.Object
1f9ade44-23d6-42fb-bdf2-8f82d54c6aa5	Explain why classes often override equals
20986aef-3a55-48a7-a451-16934698b316	Write correct calls to static & instance methods based on signatures.
20ebb510-3781-4a72-a4e0-a099e47d5987	Write methods within a class that access `private` instance variables on multiple instances of the class.
23c9ce34-caa8-4d40-9085-e0aaf04613b6	Write code to detect duplicate elements in an array
243fafdb-3ad1-4371-85aa-c3332295eacc	Explain the difference between string literals and variables
2695ee51-4136-46af-82fb-723bf7383d68	Describe the two main ways instance variables are initialized.
26c78085-b383-4138-9e4b-67e50248bcc6	State the relationship between the size() of an ArrayList and its last index
28d97886-e32f-4a69-8411-80a706f0fffa	State where you can use this as a variable
299b7ae8-fb9f-4c31-8e60-ad1c751f263d	"Define ""immutable."""
29fbc52e-8180-4da0-a39a-a282ff9e540c	Trace code that uses all three of sequencing, selection, and repetition.
2bb6d7e1-db2e-443e-9c0a-8717802f0a41	Explain how a 2D array is just a 1D array in disguise
2dcfeb0b-6693-4969-a426-bbaf294d0a23	Construct tables to represent a dataset
2e829ca8-5ab8-46f1-a325-e89197cc051f	Check loops by checking their bounds.
2eccd76f-1f2c-432f-8ed1-75d6336c79b2	Trace the evaluation of if, if/else, & if/else if/else statements
2f7413b7-37fd-4d31-9cb8-2cc7b05ee9c7	State the two places you must use the names of wrapper types
3071efa1-5290-4474-a4ee-a815c376f5b3	Write expressions using the relational operators <, >, <=, >=
30e12cca-8724-40ff-8b18-7fbab0befebb	Explain how ints & doubles are an approximation
312e3eb2-764a-4c1c-8cb0-f88beb821198	Distinguish regular for loops that can be written as enhanced for loops
31ef2db3-cbca-4df4-a444-1e590a9f8765	Write code to close a Scanner.
3284ce94-f10c-410f-8888-f2c8e6b983ba	Trace the execution of a nested loop.
32e8671d-0213-4b34-bf07-ca067bc20745	Write expressions using +, -, *, and /
336295c8-71c4-4af1-a0a8-fb54986d2b0d	Evaluate code involving pass by value and changes to local variables.
34ef69de-7cad-45d5-bd4e-84c748e46693	Write code that uses Integer.parseInt
3612691b-772e-4bf2-a0fd-85baff5fac09	Explain the rule of thumb for choosing between while & for loops
369fbb3c-0ca3-4c90-aef4-3564819f6545	Write expressions using %
36eda965-cdee-4d02-a430-44512f65384a	Identify a syntactically correct while loop
389dd5f9-4a16-4b6b-9429-7d76071acb01	Write a loop over all fixed-size substrings of a String
38aa08a4-8d95-468a-856f-51ee934fa8a3	Distinguish between modifying an array variable and an array element
391584a4-ae42-4486-9b16-4078eb194bf4	Describe the role of a constructor
39741a34-477f-41e3-8ad4-9606af3ffbbe	Explain how writing a class creates a data abstraction
3b7570a3-6d8f-46fa-96f7-1abc9c0b7103	State the value of expressions involving truncating division.
3d153afc-500e-4f55-a5e8-41192ce59218	Write code that uses all the standard loop algorithms with ArrayLists
3ddedaa2-702d-498b-a7d3-40c3cc21c20f	Write an iterative binary search
3f5e4728-eb75-419d-9e68-cf472621f31d	Distinguish between class (static) and instance variables
3fc12e30-01fc-47ed-8c5c-edd88ee1b1b1	Fix common syntax errors in Java code
40480fc9-8d18-49e0-bd04-05d3b9ba07dc	Explain the purpose of import in Java
40d8b99e-4324-461e-8a02-23bc81078bdf	Write static methods that call other static methods.
418bc867-a4d4-4085-94a8-e1ee281c5787	State the component type of a 2D array
420b29c5-5660-4881-9f77-39d524cd82d8	Explain where instance variables are stored in memory
4227080f-13f0-49ab-b999-8c37a9977e4f	Write code to construct an ArrayList with <>
423fcaa6-1190-40e6-bce9-c0579f58c167	Write code to remove elements from an ArrayList
4382d841-a64b-4e6d-9151-c60a66a48e77	Sketch diagram of how instances and classes relate in memory
4382f55e-b47d-4e37-9d78-28ca0cd920aa	Trace the execution of a while loop
44742501-76fd-4448-9160-91d8407a75a9	List the default values for array elements of different types of array.
45258d79-fb8e-4b71-a0ef-015b214921b5	Write code to test if a number is even
456cc048-2d48-4d2e-ba5c-95742d965431	Distinguish between declaring, initializing, assigning, and using a variable
45a40929-7d8f-4d12-bd99-203d2b75a8ff	Write if statements that use Math.random() to execute code with probability
46a49dd0-bdd9-4e69-9a60-83501468feae	State the condition for using binary search
46a72226-53be-4ca0-817b-6e7a6fd327c7	Explain why a constructor might make a copy of one of its arguments.
46eb89a5-5d50-4677-bfa5-6d8af5dab774	"Define ""dataset"""
474d9abf-f816-44ae-ad17-d10fb3092da3	Write code using standard loop algorithms over rows & columns of 2D array
48fd3a42-41f5-4828-9118-01f984ffefd7	Identify syntactically correct constructor signatures.
49b7febf-e361-4a7e-92cb-f49dbf36c4e3	Write a counting loop
49c81612-d043-47c9-85c0-d9a704c7e16b	Write two-way selections with if/else
4bf8eee5-759e-47cb-94b7-b262b2cca522	Explain how to decide if a method should be public or private.
4c1eacba-08ae-4814-9aee-b3a7d34e02b0	Describe some errors that cannot be detected until we run the program.
4cbb0b49-7855-44df-a845-fd6445c0c59b	Explain where you can access a private member of a class
4d330f38-1c8d-48f5-afe0-0c8148624610	Describe the mathematical effect of casting a `double` to an `int`.
4d8d24af-0290-4852-8a1c-e16e4b9fa12f	Write code to declare a `public` class.
4df0fbb2-e5a6-4831-a0f8-d3a7235a03a2	Explain how 2D arrays are stored in the heap
4e5027b3-1078-4c00-8971-a6bc5eb6464b	Explain the difference between data in a file and in a program.
4f3404f2-f7ce-4332-816f-2c11010a92d6	Write a maximizing/minimizing loop
4f8f38de-8683-46a0-aa01-75bb6c554a18	Write bubble sort.
4fa88e21-76ff-4d67-979c-c900c92ce09e	Compute how many times a for loop will run.
5051e7b0-a644-45f2-a668-ff3eb4e264b2	Write expressions to round doubles to nearest int w/o Math.round
51557056-5415-4b7a-83fe-6ac83fa9bc60	Explain how reference types are returned in terms of the call stack
51aad284-82d8-421a-ba93-2f0f421adae3	Demonstrate bubble sort with cards
52192675-1aca-4537-a33a-03a4a740349a	List the mechanisms in Java we've learned for creating abstractions
53736f6b-d4c8-4575-baa7-95a028cca79a	Explain the difference between int and double math.
564be60f-5f73-4e64-aef0-2531af15b795	Distinguish between the reference value & object data of an instance.
56a05ea0-a1ec-4543-8135-63689a74baa8	Explain the difference between inclusive and exclusive bounds
57193814-0079-4e24-8f39-f0cb679add44	Explain the structure of a while loop
578541b7-0dde-438a-a05b-8ca7cd8f4dd1	State the type of expression using array access.
57958167-13ae-4cb9-9e4f-c64f1f198adf	Explain the structure of a regular for loop
58fd2cd5-a543-4aa5-bf1d-f2021cedaaff	Write code to extract a one-character string at an index
5a6b89af-e674-4afb-ab31-2dda9d028d2d	Explain why its necessary to use equals with String objects.
5aab9557-1f0d-417e-82ec-8ac8df8545da	State the number of rows & columns in a row-major 2D array
5c489ffe-fd98-4fde-a16b-4d37b9e29859	Define recursion
5cb2b629-9093-47cb-87f1-78de5c092b93	Write methods that modify a mutable argument
5cdce992-a7f5-4f9b-acb1-776ca65ac207	Describe a method in terms of its inputs and outputs or side effects
5d01e79a-4151-4866-a156-255091245013	Write code to access elements of arrays
5d29e344-b576-4d86-8bbc-2f3a344a90e2	Trace code that contains return statements
5e2e39ac-f3db-4172-9fdc-716397a56482	"Define an object's ""state"""
5ece0dde-b09c-40bb-aa07-b2ce8464506c	Debug index out of bounds errors.
5f915536-0b40-4dd8-9ee9-91900c1a3548	Write code to construct a `File` object.
5fa96a4e-6c22-4d67-aff5-d507146b747c	Write code that passes this as an argument
6128d62a-e849-4a09-ad07-3eab87e9e813	Determine whether a method can be static or not.
6157f04d-0a0c-425d-a9d4-2b448dd97385	Write non-void methods that return values computed by arbitrary expressons.
62f86dcb-ef96-447b-83db-f319a4a7114a	Identify the body of a while loop
634caae1-89d4-40e8-adb1-7dadeb07b8a6	Explain why file operations may throw IOException
63897ba3-b9e0-4d4a-b268-96804b8a99c9	Write code that uses String.split to extract data
6581e308-fdbb-4231-9bcb-a7d3f9acc806	Remove redundant comments from code
65966008-79e8-4594-9d42-66c1dd116c8f	"Describe ""selection"""
65b1c6f0-2482-484d-bbf5-5b23632468e3	Describe a class in English in terms of its attributes & methods
65b9d745-bc14-401b-9647-bb326f5a82e7	Explain why you should always use braces with if & else
671763ce-5d45-4c2a-ab19-91a9a6270f2c	State the type of expressions involving method calls.
671fbdd9-443a-47d3-b790-87aa9a880043	Create truth tables for boolean expressions of 2 & 3 variables
67ee4588-9434-4eb2-b91d-07a27bbb5f1d	Evaluate code including assignment statements
68106b9a-dfaf-4767-b01d-51a80595ed88	Write expressions using relational operators with `int`s and `double`s
6887a13e-97b9-40eb-81ec-c0d4cf0fecd7	Write code that uses string + with non-String values.
69ef838d-16f0-44d1-a93e-1f181255c6a7	"Define ""procedural abstraction"""
6bb0123a-2f8a-43c2-8953-cccd40237850	Write code to process consecutive pairs of elements in an array
6c0957b3-a4cd-4913-a1ae-9685e1be3164	List the default values for member variables & types: int, double, boolean, etc. and references
6ca042d3-d7b8-4afe-a40e-615a740bdb08	Write code that uses indexOf with substring to extract parts
6d02277b-48b9-4263-832d-45c8c7d2ad7c	Describe the purpose of inheritance (limited to Object)
6d12382a-7278-46c0-812b-edd288993b71	Define the initializer, condition, and updater in a for loop
6d700155-72d5-4e11-b550-a8b8a38bcc59	Write code to initialize a 2D array variable with given dimensions
6e4e4f01-2e0e-48ae-9fdf-6564e8d0b952	Write a loop over all the characters (as Strings) in a String
6fe212fa-62ff-43d3-aee9-d026b5e59a74	Distinguish between the element type & component type of 2D array
70e1c9e1-6a1f-4743-abb3-f51f1e0d6913	Properly format Java code. (By hand.)
7100e56c-fe0f-4e57-86cb-e0ee66072d92	Write code that uses a while loop
71037e1b-ffa9-4936-9a49-b065e5e9eddf	Use casts to get mathematically appropriate answers.
713f4a22-bc84-4bad-8997-fd74fb7c1d87	Explain why doubles are bad for money.
719b1a34-eb83-4eb0-9a23-c7feb28168ed	Write code to process all pairs of elements in an array, ordered
7269f017-bf15-4caf-be1c-18bbefeaf7c3	Define the meaning of == & != for primitive & reference values
72e68860-5ea6-4e9d-b2ef-eaf5c6682da8	Write code to test if a number (incl negative) is odd
733b725c-4d42-4f05-9695-e79161b2c224	Write code to process all elements of a 2D array w/ regular for loops
735b058a-b8a2-4b96-8bba-60081d9a6a90	Write code to generate output with print and println
7373f41e-ce0c-49a2-923c-526d5da52681	Trace the flow of code containing calls to constructors.
7448f90f-24ca-4866-a07b-1fabc3cffa0e	"Explain the difference between ""pure"" and side-effecting methods."
76a2f195-8d64-4c3f-96e2-ac930e0a6170	State the initial value of elements of an array constructed with new
774032d1-7140-453d-a1c7-d18057aaef64	State what happens if you add or remove items to or from an `ArrayList` while iterating over it with an enhanced `for` loop.
782d0358-3846-463b-9761-cc2334737cd2	Explain why non-void methods usually shouldn't have side effects
788e98d6-5f91-4258-901d-994256e588b4	Translate multi-way else if chains to mutually exclusive ifs
7a20ade3-25d9-4bf2-a02a-e503969faa37	Write code to initialize a 2D array with an array initializer
7a497f9e-92ca-4682-8cf0-1bd6565e3cba	Explain why non-primitive types are passed by reference.
7a4bb7b4-dab4-49a1-82d8-9265d61f8c51	Describe ways data sets can be incomplete or inaccurate
7a94bcf1-3d5c-4715-8a7c-748cf49a9af6	Translate while loops to equivalent for loops and vice versa.
7ad90f11-173f-4aa2-8661-9a4cb6ce908b	Write methods that modify a passed in array.
7b9697c5-a876-4f45-96f4-5ca26f156571	Write selection sort.
7bde64be-c301-4299-b510-5210172560e3	Write code that uses compareTo
7c0ed43a-547d-492f-8f2e-2e5bc4d47b1d	Distinguish between parameters (variables) and arguments (values).
7c3fbc8f-9e92-4eef-ac3a-7a1d985b5ae6	Explain why processing user input line-by-line makes sense.
7d475d4e-874e-41cc-bb3d-ac89ccaf4e98	Write code to read data with File and Scanner
7d55aea0-2c46-47de-99ad-1065bee74520	Write a loop over all substrings of a String
7dc999e1-74c3-4fe5-9291-b9bb20eca36b	List the two kinds of attributes in classes.
7e2a60c5-3599-488d-8726-d9321826f856	Explain the difference between the heap and the stack.
7e2ce056-cc7a-452a-9396-7d310daf4d98	Write code that uses Double.parseDouble
7e6fae92-f6d3-48ca-b250-1a2abf0ab491	Describe merge sort.
